Distance (um),ChJup,frame,normalized RFP
0,196.688,12,0.363969452
0.18334,191.757,12,0.354844679
0.36669,189.446,12,0.350568193
0.55003,195.589,12,0.361935762
0.73337,187.984,12,0.347862775
0.91672,215.908,12,0.399535897
1.10006,232.193,12,0.429671149
1.2834,252.786,12,0.467778319
1.46675,286.216,12,0.529640246
1.65009,318.88,12,0.590084697
1.83343,369.744,12,0.684208091
2.01678,408.531,12,0.755983101
2.20012,463.294,12,0.857321562
2.38346,477.79,12,0.884146285
2.56681,510.178,12,0.94408
2.75015,540.397,12,1
2.93349,502.984,12,0.930767565
3.11684,499.326,12,0.923998468
3.30018,442.351,12,0.81856672
3.48353,394.198,12,0.729460008
3.66687,353.906,12,0.654900009
3.85021,312.645,12,0.578546883
4.03356,272.203,12,0.50370931
4.2169,224.655,12,0.415722145
4.40024,210.846,12,0.390168709
4.58359,212.296,12,0.392851922
4.76693,203.775,12,0.377083885
4.95027,198.305,12,0.366961697
5.13362,201.946,12,0.373699336
5.31696,196.239,12,0.363138581
5.5003,197.418,12,0.365320311
5.68365,189.488,12,0.350645914
5.86699,177.221,12,0.327945936
6.05033,161.156,12,0.298217792
0,216.203,32,0.400081792
0.18334,234.326,32,0.433618247
0.36669,248.667,32,0.460156144
0.55003,261.771,32,0.484404984
0.73337,271.902,32,0.503152312
0.91672,277.303,32,0.513146816
1.10006,267.294,32,0.494625248
1.2834,267.056,32,0.494184831
1.46675,276.396,32,0.51146842
1.65009,292.124,32,0.540572949
1.83343,297.339,32,0.550223262
2.01678,295.969,32,0.547688089
2.20012,329.514,32,0.609762823
2.38346,362.375,32,0.67057182
2.56681,427.91,32,0.791843774
2.75015,448.602,32,0.830134142
2.93349,454.811,32,0.841623843
3.11684,451.911,32,0.836257418
3.30018,440.836,32,0.815763226
3.48353,371.241,32,0.686978277
3.66687,305.688,32,0.565673014
3.85021,236.865,32,0.438316645
4.03356,183.078,32,0.338784264
4.2169,146.926,32,0.271885299
4.40024,134.709,32,0.249277846
4.58359,126.098,32,0.233343264
4.76693,126.166,32,0.233469098
4.95027,119.772,32,0.221637056
5.13362,119.915,32,0.221901676
5.31696,119.673,32,0.221453857
5.5003,123.513,32,0.228559744
5.68365,121.108,32,0.224109312
5.86699,114.371,32,0.211642552
6.05033,122.281,32,0.226279939
0,251.047,36,0.464560314
0.18334,251.237,36,0.464911907
0.36669,244.354,36,0.452174975
0.55003,243.549,36,0.450685329
0.73337,253.998,36,0.470021114
0.91672,268.803,36,0.497417639
1.10006,278.946,36,0.516187174
1.2834,295.6,36,0.547005257
1.46675,305.834,36,0.565943186
1.65009,328.324,36,0.607560738
1.83343,362.694,36,0.671162127
2.01678,391.422,36,0.724323044
2.20012,428.403,36,0.792756066
2.38346,461.322,36,0.853672393
2.56681,471.093,36,0.871753544
2.75015,515.13,36,0.953243634
2.93349,515.041,36,0.95307894
3.11684,478.382,36,0.885241776
3.30018,430.417,36,0.796482956
3.48353,372.849,36,0.689953867
3.66687,289.778,36,0.536231696
3.85021,231.209,36,0.427850266
4.03356,165.578,36,0.306400665
4.2169,137.628,36,0.25467943
4.40024,130.485,36,0.24146137
4.58359,126.517,36,0.23411862
4.76693,132.248,36,0.244723786
4.95027,128.075,36,0.237001686
5.13362,122.241,36,0.226205919
5.31696,123.02,36,0.227647452
5.5003,121.816,36,0.22541946
5.68365,116.718,36,0.215985655
5.86699,118.514,36,0.219309138
6.05033,120.109,36,0.222260671
0,225.312,42,0.416937918
0.18334,238.922,42,0.442123106
