Distance (um),ChJup,frame,normalized RFP,distance,BC RFP,frame,normalized BC
0,153.0556,30,0.526304279,0,,,0
0.18319,158.6276,30,0.545464424,0,,,0
0.36638,151.1823,30,0.51986266,0,,,0
0.54956,151.7656,30,0.521868424,0,,,0
0.73275,158.7083,30,0.545741923,0,,,0
0.91594,158.1354,30,0.543771921,0,,,0
1.09913,155.9358,30,0.536208272,0,,,0
1.28232,159.1589,30,0.547291377,0,,,0
1.46551,160.3333,30,0.551329725,0,,,0
1.64869,162.8832,30,0.560097933,0,,,0
1.83188,189.1979,30,0.650584914,0,,,0
2.01507,185.6706,30,0.638455772,0,,,0
2.19826,187.0556,30,0.643218299,0,,,0
2.38145,183.1654,30,0.629841272,0,,,0
2.56463,169.4635,30,0.582725266,0,,,0
2.74782,168.6181,30,0.579818233,0,,,0
2.93101,185.5833,30,0.638155578,0,,,0
3.1142,184.5143,30,0.634479664,0,,,0
3.29739,171.1129,30,0.588396971,0,,,0
3.48058,164.9258,30,0.567121714,0,,,0
3.66376,170.9583,30,0.587865356,0,,,0
3.84695,163.1866,30,0.561141218,0,,,0
4.03014,160.8542,30,0.553120917,0,,,0
4.21333,169.8685,30,0.584117918,0,,,0
4.39652,168.7361,30,0.580223994,0,,,0
4.5797,178.806,30,0.614850831,0,,,0
4.76289,174.8646,30,0.601297746,0,,,0
4.94608,182.6714,30,0.62814258,0,,,0
5.12927,195.2083,30,0.671252562,0,,,0
5.31246,200.1628,30,0.688289342,0,,,0
5.49565,190.4097,30,0.654751867,0,,,0
5.67883,217.5742,30,0.748161011,0,,,0
5.86202,228.8333,30,0.786877089,0,,,0
0,162.1667,35,0.557634142,0,,,0
0.18319,170.6914,35,0.586947581,0,,,0
0.36638,179.9479,35,0.618777423,0,,,0
0.54956,182.7995,35,0.628583071,0,,,0
0.73275,183.7917,35,0.631994897,0,,,0
0.91594,148.651,35,0.511158412,0,,,0
1.09913,168.4583,35,0.579268737,0,,,0
1.28232,153.9757,35,0.529468179,0,,,0
1.46551,161.6667,35,0.555914818,0,,,0
1.64869,171.0521,35,0.588187901,0,,,0
1.83188,156.0104,35,0.536464795,0,,,0
2.01507,163.2943,35,0.561511561,0,,,0
2.19826,174.0833,35,0.59861113,0,,,0
2.38145,172.6632,35,0.593727907,0,,,0
2.56463,158.401,35,0.544685226,0,,,0
2.74782,162.5729,35,0.55903092,0,,,0
2.93101,173.8333,35,0.597751468,0,,,0
3.1142,176.8359,35,0.608076352,0,,,0
3.29739,169.0938,35,0.581453998,0,,,0
3.48058,176.2947,35,0.606215356,0,,,0
3.66376,192.9583,35,0.663515605,0,,,0
3.84695,174.5247,35,0.600128949,0,,,0
4.03014,178.9688,35,0.615410643,0,,,0
4.21333,184.1628,35,0.633270979,0,,,0
4.39652,193.5417,35,0.665521712,0,,,0
4.5797,193.3312,35,0.664797876,0,,,0
4.76289,192.8021,35,0.662978488,0,,,0
4.94608,190.1693,35,0.653925216,0,,,0
5.12927,192.625,35,0.662369503,0,,,0
5.31246,204.8047,35,0.7042512,0,,,0
5.49565,223.724,35,0.769308007,0,,,0
5.67883,209.3945,35,0.720033905,0,,,0
5.86202,234.6667,35,0.806936096,0,,,0
0,155.667,46,0.535283964,0,,,0
0.18319,162.687,46,0.55942327,0,,,0
0.36638,158.76,46,0.545919701,0,,,0
0.54956,168.714,46,0.580147999,0,,,0
0.73275,176.028,46,0.605298268,0,,,0
0.91594,190.714,46,0.655798248,0,,,0
1.09913,180.854,46,0.621893182,0,,,0
1.28232,176.17,46,0.605786556,0,,,0
1.46551,177.042,46,0.608785057,0,,,0
1.64869,204.859,46,0.704437919,0,,,0
1.83188,208.752,46,0.717824574,0,,,0
2.01507,227.293,46,0.78158054,0,,,0
2.19826,243.625,46,0.837740533,0,,,0
2.38145,263.729,46,0.906871106,0,,,0
2.56463,267.693,46,0.920501905,0,,,0
