Distance (um),AC ,),frame,normalized AC RFP,normalized BC RFP
0,228,187.25,6,0.328214814,0.230733307
0.18333,212.549,180.6938,6,0.305972502,0.222654622
0.36667,197.52,181.7585,6,0.284337675,0.223966567
0.55,214.976,195.6362,6,0.309466262,0.241066955
0.73333,229.312,207.2526,6,0.330103488,0.255380923
0.91667,234.2,209.8988,6,0.337139953,0.258641625
1.1,228.607,190.2656,6,0.329088614,0.234449191
1.28333,233.993,189.3558,6,0.336841969,0.233328117
1.46667,257.174,189.0208,6,0.370211914,0.232915323
1.65,259.832,185.3911,6,0.374038208,0.228442732
1.83333,254.521,187.4128,6,0.366392818,0.230933912
2.01667,247.219,180.4331,6,0.355881307,0.222333382
2.2,246.959,184.375,6,0.355507027,0.227190673
2.38333,266.047,177.062,6,0.382984941,0.218179443
2.56667,279.717,173.5534,6,0.402663434,0.213856074
2.75,285.228,187.9272,6,0.410596732,0.231567767
2.93333,286.167,189.5,6,0.411948459,0.233505803
3.11667,285.982,197.2907,6,0.411682144,0.243105664
3.3,298.296,192.3398,6,0.429408623,0.237005063
3.48333,303.561,191.1281,6,0.436987794,0.235511981
3.66667,290.292,196.5807,6,0.417886556,0.242230788
3.85,278.407,185.8535,6,0.400777639,0.229012511
4.03333,261.191,176.2135,6,0.375994541,0.217133904
4.21667,255.696,174.1442,6,0.368084276,0.21458407
4.4,268.344,182.625,6,0.386291561,0.225034287
4.58333,261.378,184.4945,6,0.376263735,0.227337923
4.76667,259.395,180.7363,6,0.37340913,0.222706991
4.95,262.542,178.6089,6,0.377939358,0.220085565
5.13333,264.958,189.1927,6,0.381417283,0.233127142
5.31667,261.482,190.7236,6,0.376413447,0.235013548
5.5,274.009,192.916,6,0.394446548,0.237715069
5.68333,281.54,187.0524,6,0.405287713,0.23048982
5.86667,245.722,197.1667,6,0.353726318,0.242952869
0,267.3195,220.6667,15,0.384816754,0.271910053
0.18333,267.8658,213.9102,15,0.385603174,0.263584554
0.36667,261.1029,208.0573,15,0.375867718,0.25637249
0.55,230.368,213.6943,15,0.331623641,0.263318518
0.73333,223.9948,217.099,15,0.322449173,0.267513859
0.91667,224.9717,188.6108,15,0.323855459,0.232410113
1.1,216.9514,190.3529,15,0.312309927,0.234556764
1.28333,229.705,210.5885,15,0.330669227,0.259491487
1.46667,235.9167,210.3819,15,0.339611209,0.25923691
1.65,251.5504,203.3971,15,0.362116525,0.250630096
1.83333,258.3299,207.3177,15,0.371875877,0.25546114
2.01667,235.0072,206.1957,15,0.338301949,0.254078589
2.2,236.5573,200.1198,15,0.340533378,0.246591739
2.38333,220.6516,192.8753,15,0.317636508,0.237664917
2.56667,210.4792,173.2313,15,0.302992945,0.213459176
2.75,222.7274,183.9626,15,0.320624702,0.226682505
2.93333,227.5833,192.1667,15,0.327614958,0.236791766
3.11667,221.0355,202.0339,15,0.318189147,0.248950333
3.3,226.9588,212.332,15,0.326715966,0.261639864
3.48333,226.526,191.7588,15,0.326092934,0.236289143
3.66667,234.3958,193.7865,15,0.337421815,0.238787717
3.85,236.8934,198.0911,15,0.341017207,0.244091934
