Distance (um),AC ,BC  ,frame,normalized AC RFP,normalized BC RFP
0,156.417,241.0972,19,0.240251223,0.336577037
0.18333,155.413,246.9804,19,0.238709113,0.344790115
0.36667,153.427,233.2565,19,0.235658684,0.325631246
0.55,157.245,249.0039,19,0.241523003,0.347614966
0.73333,148.17,254.5217,19,0.22758411,0.355317937
0.91667,138.87,253.2964,19,0.213299624,0.353607391
1.1,128.551,262.2947,19,0.197449989,0.366169217
1.28333,126.341,269.0562,19,0.194055504,0.375608421
1.46667,129.184,255.2083,19,0.198422256,0.356276446
1.65,162.095,247.0174,19,0.248972439,0.344841768
1.83333,230.348,254.4273,19,0.353806739,0.355186153
2.01667,316.016,246.7949,19,0.48538989,0.344531153
2.2,415.201,237.1641,19,0.637734696,0.331086343
2.38333,524.148,255.8659,19,0.805073603,0.35719447
2.56667,636.221,273.7344,19,0.977213942,0.382139292
2.75,616.648,295.254,19,0.947150476,0.412181131
2.93333,640.361,302.5555,19,0.983572842,0.422374187
3.11667,607.886,302.0358,19,0.93369234,0.421648674
3.3,566.891,289.1573,19,0.870725406,0.403670003
3.48333,499.045,274.9064,19,0.766516244,0.38377543
3.66667,463.469,279.6797,19,0.711872711,0.390439063
3.85,435.038,261.7126,19,0.668203657,0.365356593
4.03333,389.513,243.7598,19,0.598278796,0.340294086
4.21667,378.581,247.0327,19,0.581487614,0.344863127
4.4,373.083,230.4236,19,0.573042872,0.321676455
4.58333,319.223,220.9814,19,0.490315733,0.308494935
4.76667,302.983,227.0013,19,0.465371642,0.316898848
4.95,296.041,221.2321,19,0.454708965,0.308844917
5.13333,292.316,221.5208,19,0.448987491,0.309247949
5.31667,293.014,209.7756,19,0.450059595,0.292851389
5.5,330.365,203.1311,19,0.507429468,0.28357552
5.68333,306.805,221.9073,19,0.471242105,0.309787511
5.86667,311.056,243.5,19,0.477771497,0.339931399
0,127.167,214.9167,26,0.195324212,0.300028479
0.18333,118.411,221.1504,26,0.181875292,0.308730862
0.36667,139.205,217.9062,26,0.213814173,0.304201887
0.55,136.424,218.7508,26,0.209542651,0.305380967
0.73333,126.342,225.4375,26,0.19405704,0.314715749
0.91667,153.414,233.019,26,0.235638716,0.325299691
1.1,161.883,216.959,26,0.248646814,0.302879575
1.28333,193.115,205.4461,26,0.29661811,0.286807311
1.46667,311.139,215.625,26,0.477898983,0.301017281
1.65,329.079,215.3286,26,0.505454216,0.3006035
1.83333,400.614,214.2747,26,0.615329557,0.299132233
2.01667,458.575,217.0532,26,0.704355693,0.30301108
2.2,484.451,226.3854,26,0.744100354,0.316039038
2.38333,550.701,228.3333,26,0.845858114,0.31875835
2.56667,571.182,247.4121,26,0.877316237,0.345392778
2.75,610.877,249.0845,26,0.938286415,0.347727485
2.93333,651.056,267.1667,26,1,0.372970637
3.11667,618.796,249.2065,26,0.950449731,0.3478978
3.3,588.714,240.1882,26,0.904244796,0.335308053
3.48333,504.335,232.7848,26,0.774641505,0.324972743
