,control variable,experimental variable,phase,test,y-value,control n,experimental n,control mean,experimental mean,control stdev,experimental stdev,test statistic,degrees of freedom,critical value,p-value,significance
0,WT,"cdk1 RNAi, 0X MTOC",interphase,Unpaired Student's T-test,AC/Cyto RFP,10,9,3.4945312579448222,1.451896944612803,1.4217726951016212,0.19358044838227345,4.497106233892695,17,1.7396067260750672,0.00031771095958865736,***
1,WT,"cdk1 RNAi, 0X MTOC",interphase,Unpaired Student's T-test,AC/BC RFP,10,9,3.034791719492385,1.178302297288235,0.8732551488133857,0.28902437736978026,6.347607417647241,17,1.7396067260750672,7.2873856653554725e-06,****
2,WT,"cdk1 RNAi, 0X MTOC",prometaphase,Unpaired Student's T-test,AC/Cyto RFP,10,3,3.115206110574961,4.446587586390218,0.48745460731319784,1.887032377482706,-1.2099843898237186,11,1.7958848187036691,0.25164522389762345,ns
3,WT,"cdk1 RNAi, 0X MTOC",prometaphase,Unpaired Student's T-test,AC/BC RFP,10,3,1.090535542678887,1.1179644954528676,0.09074946190993587,0.45002943241486637,-0.10492910395105873,11,1.7958848187036691,0.918320940414554,ns
4,WT,"cdk1 RNAi, 2X MTOC",interphase,Unpaired Student's T-test,AC/Cyto RFP,10,12,3.4945312579448222,3.0579883787661544,1.4217726951016212,0.7763373080928273,0.8689787160652033,20,1.7247182429207857,0.3951676308914873,ns
5,WT,"cdk1 RNAi, 2X MTOC",interphase,Unpaired Student's T-test,AC/BC RFP,10,12,3.034791719492385,1.3477378858032016,0.8732551488133857,0.8223586990684814,4.632707660433038,20,1.7247182429207857,0.00016065615201266148,***
6,WT,"cdk1 RNAi, 2X MTOC",prometaphase,Unpaired Student's T-test,AC/Cyto RFP,10,3,3.115206110574961,5.87320788530466,0.48745460731319784,0.970128789388375,-4.74757596409444,11,1.7958848187036691,0.0006020389359122635,***
7,WT,"cdk1 RNAi, 2X MTOC",prometaphase,Unpaired Student's T-test,AC/BC RFP,10,3,1.090535542678887,1.7046354897465796,0.09074946190993587,0.9250019899405775,-1.1482353370387726,11,1.7958848187036691,0.27522918751211756,ns
8,WT,"Cdk1::GFP, PACT::vhh",interphase,Unpaired Student's T-test,AC/Cyto RFP,10,6,3.4945312579448222,1.797144526407199,1.4217726951016212,0.19711989184250617,3.7162338848880783,14,1.7613101357748562,0.002302140094430971,**
9,WT,"Cdk1::GFP, PACT::vhh",interphase,Unpaired Student's T-test,AC/BC RFP,10,6,3.034791719492385,1.5554845904352412,0.8732551488133857,0.372492883439286,4.692487705881233,14,1.7613101357748562,0.00034607350854476415,***
10,WT,"Cdk1::GFP, PACT::vhh",prometaphase,Unpaired Student's T-test,AC/Cyto RFP,10,4,3.115206110574961,2.6053582228428347,0.48745460731319784,0.3904988138044664,2.0495243561944894,12,1.782287555649159,0.06292452467717724,ns
11,WT,"Cdk1::GFP, PACT::vhh",prometaphase,Unpaired Student's T-test,AC/BC RFP,10,4,1.090535542678887,1.136390011598726,0.09074946190993587,0.17964528975102392,-0.48628445878499116,12,1.782287555649159,0.6355250254228317,ns
