,control variable,experimental variable,phase,test,y-value,control n,experimental n,control mean,experimental mean,control stdev,experimental stdev,test statistic,degrees of freedom,critical value,p-value,significance
0,WT,"cdk1 RNAi, 0X MTOC",interphase,Mann-Whitney U Test,AC/Cyto RFP,10,9,3.4945312579448222,1.451896944612803,1.4217726951016212,0.19358044838227345,90.0,N/A,N/A,2.79700e-04,***
1,WT,"cdk1 RNAi, 0X MTOC",interphase,Mann-Whitney U Test,AC/BC RFP,10,9,3.034791719492385,1.178302297288235,0.8732551488133857,0.28902437736978026,90.0,N/A,N/A,2.79700e-04,***
2,WT,"cdk1 RNAi, 0X MTOC",prometaphase,Unpaired Student's T-test,AC/Cyto RFP,10,3,3.115206110574961,4.446587586390218,0.48745460731319784,1.887032377482706,-2.204324371254903,11,N/A,4.97092e-02,*
3,WT,"cdk1 RNAi, 0X MTOC",prometaphase,Mann-Whitney U Test,AC/BC RFP,10,3,1.090535542678887,1.1179644954528676,0.09074946190993587,0.45002943241486637,19.0,N/A,N/A,5.73427e-01,ns
4,WT,"cdk1 RNAi, 2X MTOC",interphase,Unpaired Student's T-test,AC/Cyto RFP,10,12,3.4945312579448222,3.0579883787661544,1.4217726951016212,0.7763373080928273,0.9151604764604455,20,N/A,3.71010e-01,ns
5,WT,"cdk1 RNAi, 2X MTOC",interphase,Mann-Whitney U Test,AC/BC RFP,10,12,3.034791719492385,1.3477378858032016,0.8732551488133857,0.8223586990684814,112.0,N/A,N/A,6.84260e-04,***
6,WT,"cdk1 RNAi, 2X MTOC",prometaphase,Unpaired Student's T-test,AC/Cyto RFP,10,3,3.115206110574961,5.87320788530466,0.48745460731319784,0.970128789388375,-6.929839633020932,11,N/A,2.48796e-05,****
7,WT,"cdk1 RNAi, 2X MTOC",prometaphase,Unpaired Student's T-test,AC/BC RFP,10,3,1.090535542678887,1.7046354897465796,0.09074946190993587,0.9250019899405775,-2.3155781403364437,11,N/A,4.08951e-02,*
8,WT,"Cdk1::GFP, PACT::vhh",interphase,Unpaired Student's T-test,AC/Cyto RFP,10,6,3.4945312579448222,1.797144526407199,1.4217726951016212,0.19711989184250617,2.8681537138312625,14,N/A,1.23978e-02,*
9,WT,"Cdk1::GFP, PACT::vhh",interphase,Unpaired Student's T-test,AC/BC RFP,10,6,3.034791719492385,1.5554845904352412,0.8732551488133857,0.372492883439286,3.899109436895645,14,N/A,1.60456e-03,**
10,WT,"Cdk1::GFP, PACT::vhh",prometaphase,Unpaired Student's T-test,AC/Cyto RFP,10,4,3.115206110574961,2.6053582228428347,0.48745460731319784,0.3904988138044664,1.852878301810053,12,N/A,8.86410e-02,ns
11,WT,"Cdk1::GFP, PACT::vhh",prometaphase,Unpaired Student's T-test,AC/BC RFP,10,4,1.090535542678887,1.136390011598726,0.09074946190993587,0.17964528975102392,-0.6494128804623104,12,N/A,5.28306e-01,ns
