Distance (um),CnbGFP,ChJup,frame,normalized GFP,normalized RFP
0,25.6667,165.4167,1,0.349829833,0.356742925
0.18333,22.5619,161.1199,1,0.307512291,0.347476309
0.36667,22.0993,175.2079,1,0.301207184,0.377858939
0.55,23.096,177.9646,1,0.314791922,0.383804126
0.73333,25.4146,166.3367,1,0.346393782,0.358727026
0.91667,19.3506,178.8308,1,0.263743183,0.385672201
1.1,24.899,172.6023,1,0.3393663,0.372239619
1.28333,27.8371,195.0156,1,0.379411769,0.420576856
1.46667,24.2706,174.7774,1,0.330801386,0.376930509
1.65,25.2841,172.4621,1,0.344615104,0.371937259
1.83333,27.3338,170.3338,1,0.372551933,0.3673473
2.01667,28.4815,193.0556,1,0.388194758,0.416349857
2.2,24.8573,156.1982,1,0.338797941,0.336862014
2.38333,22.6524,169.6869,1,0.30874578,0.365952175
2.56667,29.5286,174.553,1,0.402466433,0.376446561
2.75,43.9053,194.3434,1,0.598416772,0.419127168
2.93333,56.7673,214.7765,1,0.77372218,0.463193842
3.11667,73.3691,196.9322,1,1,0.424710257
3.3,66.1894,205.6818,1,0.902142728,0.443579923
3.48333,43.9162,196.7774,1,0.598565336,0.42437641
3.66667,30.5749,187.2151,1,0.416727205,0.403754049
3.85,25.8068,181.0114,1,0.351739356,0.390374952
4.03333,24.4815,190.0139,1,0.333675894,0.40979003
4.21667,22.6616,186.7811,1,0.308871173,0.402818071
4.4,24.3624,179.5682,1,0.332052594,0.387262501
4.58333,24.2146,202.0202,1,0.330038122,0.435683199
4.76667,26.3426,198.5236,1,0.359042158,0.42814232
4.95,25.3523,196.053,1,0.34554465,0.422814146
5.13333,21.8523,200.0093,1,0.297840644,0.431346428
5.31667,23.7685,216.8346,1,0.323957906,0.467632406
5.5,23.9306,222.2816,1,0.326167283,0.47937958
5.68333,28.444,212.8552,1,0.387683643,0.459050306
5.86667,26.9263,200.4377,1,0.366997823,0.432270329
6.05,23.0694,195.4722,1,0.314429371,0.421561574
0,22.125,132.75,8,0.301557468,0.286292879
0.18333,23.899,131.213,8,0.325736584,0.282978136
0.36667,23.6982,134.899,8,0.322999737,0.290927481
0.55,23.4129,132.955,8,0.319111179,0.286734989
0.73333,20.447,142.467,8,0.278686804,0.307248871
0.91667,20.2475,154.535,8,0.275967676,0.333275104
1.1,27.1061,138.606,8,0.369448446,0.298922115
1.28333,28.5606,143,8,0.389272868,0.308398356
1.46667,25.8081,151.928,8,0.351757075,0.327652765
1.65,22.9886,158.92,8,0.31332809,0.342731935
1.83333,22.5051,178.499,8,0.306738123,0.38495663
2.01667,23.9306,183.833,8,0.326167283,0.396460104
2.2,23.8409,177.629,8,0.324944697,0.38308036
2.38333,25.6174,173.5,8,0.349157888,0.374175627
2.56667,34.2412,189.655,8,0.466697833,0.409016015
2.75,47.9545,224.742,8,0.653606218,0.484685757
2.93333,61.8813,238.273,8,0.843424548,0.513867143
3.11667,61.452,242.496,8,0.837573311,0.522974599
3.3,47.875,230.273,8,0.652522656,0.496614088
3.48333,38.0404,224.568,8,0.518479851,0.484310503
3.66667,28.4596,218.836,8,0.387896267,0.471948689
3.85,24.8977,198.583,8,0.339348581,0.428270424
4.03333,24.8889,198.139,8,0.33922864,0.42731288
4.21667,23.5076,188.842,8,0.320401913,0.407262673
4.4,23.4318,175.841,8,0.319368781,0.379224303
4.58333,27.428,176.583,8,0.373835852,0.380824523
4.76667,30.3131,176.005,8,0.413158946,0.37957799
4.95,26.2955,176.045,8,0.358400198,0.379664256
5.13333,25.0429,193.044,8,0.341327616,0.416324841
5.31667,26.4646,201.436,8,0.360704983,0.434423295
5.5,22.2689,201.485,8,0.303518784,0.43452897
5.68333,21.7992,211.16,8,0.297116906,0.455394383
5.86667,23,186.278,8,0.313483469,0.401733069
6.05,22.9583,148.458,8,0.31291511,0.320169252
0,22,144,47,0.299853753,0.310554988
0.18333,24.4192,153.093,47,0.332826762,0.330165241
0.36667,23.8687,147.278,47,0.325323604,0.317624427
0.55,22.5379,161.689,47,0.307185177,0.348703649
0.73333,23.0354,160.129,47,0.313965961,0.345339303
0.91667,19.9141,174.114,47,0.271423528,0.375499799
