Distance (um),CnbGFP,ChJup,frame,normalized GFP,normalized RFP
0,23.25,72.5,10,0.290983637,0.355894596
0.18333,28.9744,76.1406,10,0.362626938,0.373765905
0.36667,28.5736,84.7451,10,0.357610755,0.416004457
0.55,24.7408,85.7982,10,0.309641633,0.42117401
0.73333,27.0982,88.8812,10,0.339145497,0.436308121
0.91667,28.3413,81.1111,10,0.354703422,0.398165547
1.1,29.5599,80.2459,10,0.369954719,0.393918375
1.28333,28.7075,76.0391,10,0.359286571,0.373267652
1.46667,31.2712,79.2108,10,0.391372366,0.388837182
1.65,31.1212,78.9415,10,0.389495053,0.387515218
1.83333,28.8382,75.965,10,0.360922337,0.372903904
2.01667,29.034,78.0494,10,0.363372857,0.383135996
2.2,34.225,84.4504,10,0.42834043,0.414557807
2.38333,36.2667,82.1309,10,0.453893173,0.403171634
2.56667,34.1566,92.794,10,0.427484374,0.45551563
2.75,42.9387,92.0207,10,0.537396091,0.451719585
2.93333,51.8062,105.345,10,0.648376624,0.517127121
3.11667,48.2978,119.7333,10,0.604467506,0.587757717
3.3,40.6839,130.2493,10,0.50917631,0.639379614
3.48333,42.954,124.7464,10,0.537587577,0.612366478
3.66667,40.1102,121.2703,10,0.50199621,0.595302682
3.85,34.7137,104.2153,10,0.434456718,0.511581546
4.03333,37.6358,96.9907,10,0.471028042,0.476116773
4.21667,34.0914,85.5617,10,0.426668369,0.420013058
4.4,32.8919,77.8864,10,0.411656116,0.382335847
4.58333,28.2045,74.6571,10,0.352991312,0.366483565
4.76667,29.7059,81.7673,10,0.371781971,0.401386762
4.95,26.0675,70.3623,10,0.326245848,0.34540086
5.13333,23.6804,61.3608,10,0.296370276,0.301213478
5.31667,24.3684,55.9444,10,0.304980889,0.274624961
5.5,24.4465,49.6545,10,0.305958344,0.243748527
5.68333,24.4002,44.6796,10,0.305378879,0.219327286
5.86667,24.8428,47.2271,10,0.310918207,0.231832685
6.05,27,52.5833,10,0.337916482,0.258125687
0,27.75,74.25,17,0.347303051,0.364485156
0.18333,28.2332,86.4043,17,0.353350504,0.424149289
0.36667,32.2155,93.0348,17,0.403190683,0.456697691
0.55,33.0859,87.5707,17,0.414084109,0.42987502
0.73333,34.0264,81.7966,17,0.425854866,0.401530592
0.91667,36.4888,90.1361,17,0.456672849,0.442468289
1.1,35.6212,101.3081,17,0.445814466,0.497310419
1.28333,29.0746,108.3939,17,0.363880983,0.532093838
1.46667,32.0864,100.5491,17,0.401574941,0.49358457
1.65,37.1591,99.2273,17,0.465061939,0.487095998
1.83333,34.0957,94.7548,17,0.426722185,0.465140983
2.01667,39.716,96.7037,17,0.49706263,0.474707921
2.2,37.6869,100.4949,17,0.47166758,0.493318508
2.38333,36.773,97.9343,17,0.460229733,0.480748802
2.56667,37.8488,101.7166,17,0.473693828,0.499315701
2.75,39.5934,110.0783,17,0.495528239,0.540362374
2.93333,45.8488,121.5121,17,0.57381723,0.596489652
3.11667,44.7194,103.1723,17,0.559682308,0.506461573
3.3,48.8182,114.1364,17,0.610980534,0.560283145
3.48333,44.1897,121.8659,17,0.553052888,0.598226418
3.66667,45.9877,128.3286,17,0.575555622,0.629951107
3.85,45.1414,118.9672,17,0.564963818,0.583997015
4.03333,45.0648,116.5154,17,0.564005136,0.571961396
4.21667,45.4077,119.9818,17,0.568296676,0.588977576
4.4,39.1717,109.2677,17,0.490250484,0.536383227
4.58333,37.9371,108.0393,17,0.47479894,0.530353146
4.76667,33.5962,104.7113,17,0.42047073,0.514016356
4.95,37.7045,108.8409,17,0.471887852,0.534288113
5.13333,35.177,107.0822,17,0.440255114,0.525654846
5.31667,38.2396,109.1431,17,0.478584856,0.535771579
5.5,37.3763,108.3131,17,0.467780289,0.5316972
5.68333,31.5081,105.8263,17,0.394337271,0.51948977
5.86667,29.7545,103.351,17,0.372390221,0.507338792
6.05,30.2778,93.8056,17,0.378939543,0.460481464
0,21.8194,52.264,26,0.27307907,0.256558278
0.18333,26.0936,59.837,26,0.326572501,0.29373331
0.36667,23.8705,77.138,26,0.298749459,0.378662033
0.55,25.1629,73.996,26,0.314924394,0.363238297
0.73333,27.7461,82.656,26,0.347254241,0.405749293
0.91667,30.4223,99.973,26,0.380748022,0.490756558
1.1,31.8258,100.398,26,0.398313421,0.492842837
1.28333,33.7336,106.773,26,0.42219035,0.524137017
1.46667,38.8479,119.458,26,0.486197989,0.586406299
1.65,42.3649,149.703,26,0.53021474,0.734875707
1.83333,41.0205,150.21,26,0.513389002,0.737364515
2.01667,50.3117,173.951,26,0.629672321,0.853906495
