Distance (um),CnbGFP,ChJup,frame,normalized GFP,normalized RFP
0,29.3889,173.819,8,0.390392971,0.208279212
0.18333,30.1296,170.695,8,0.400232199,0.204535869
0.36667,25.8858,172.666,8,0.343858885,0.206897626
0.55,16.766,183.118,8,0.222714309,0.219421771
0.73333,20.4713,197.01,8,0.271934357,0.236067907
0.91667,23.6624,215.993,8,0.314323933,0.258814352
1.1,22.3048,201.058,8,0.296289999,0.240918437
1.28333,26.3935,245.338,8,0.350603013,0.293977099
1.46667,31.5844,209.146,8,0.419557308,0.250609911
1.65,27.9133,260.872,8,0.370791562,0.312590768
1.83333,26.1886,297.442,8,0.347881185,0.356410895
2.01667,27.2917,423.236,8,0.362534421,0.507143987
2.2,32.5716,527.356,8,0.432670964,0.631906134
2.38333,34.1692,596.266,8,0.453892984,0.714477777
2.56667,38.2392,659.599,8,0.507957593,0.790366761
2.75,47.7417,746.917,8,0.634185836,0.894995854
2.93333,61.7495,768.402,8,0.820261078,0.920740329
3.11667,53.5338,819.576,8,0.711126284,0.98205975
3.3,41.5172,760.446,8,0.551501522,0.911207025
3.48333,34.2237,682.42,8,0.454616945,0.817712103
3.66667,30.0826,620.344,8,0.399607866,0.743329323
3.85,27.9037,560.299,8,0.370664038,0.671380196
4.03333,25.8889,513.375,8,0.343900064,0.615153352
4.21667,25.0452,478.375,8,0.332692617,0.573214483
4.4,26.759,470.83,8,0.355458201,0.56417366
4.58333,24.0583,443.878,8,0.319582945,0.531878334
4.76667,26.3005,439.458,8,0.34936763,0.526582054
4.95,29.7529,391.101,8,0.395228234,0.468638113
5.13333,30.2544,394.771,8,0.401890003,0.473035703
5.31667,27.0869,399.214,8,0.359813922,0.478359543
5.5,28.4995,357.797,8,0.378578459,0.428731481
5.68333,29.34,353.803,8,0.389743399,0.423945657
5.86667,27.6015,332.829,8,0.366649708,0.398813489
6.05,25.5417,333.542,8,0.339287968,0.399667844
0,21.3333,215.222,11,0.283384896,0.257890499
0.18333,24.2401,224.111,11,0.32199792,0.268541774
0.36667,27.5011,215.897,11,0.365316026,0.25869932
0.55,23.2197,229.429,11,0.308443245,0.274914085
0.73333,26.9557,227.856,11,0.358071102,0.273029233
0.91667,25.648,239.337,11,0.340700024,0.28678638
1.1,26.0055,214.013,11,0.345448942,0.25644181
1.28333,28.1848,205.829,11,0.374398083,0.246635304
1.46667,28.6898,184.668,11,0.381106345,0.221279064
1.65,28.475,192.269,11,0.378253009,0.230386988
1.83333,27.1281,232.075,11,0.36036121,0.278084664
2.01667,27.287,296.75,11,0.362471988,0.355581704
2.2,31.2202,385.101,11,0.414719389,0.461448593
2.38333,24.5865,515.84,11,0.326599389,0.618107047
2.56667,35.4447,602.321,11,0.470836328,0.721733202
2.75,54.3526,638.249,11,0.722002968,0.764784051
2.93333,75.2803,645.539,11,1,0.773519318
3.11667,66.0553,666.182,11,0.87745798,0.798254864
3.3,52.8065,682.405,11,0.701465058,0.817694129
3.48333,43.3409,665.056,11,0.575726983,0.79690563
3.66667,34.4278,592.129,11,0.457328146,0.709520603
3.85,30.5944,590.005,11,0.406406457,0.706975512
4.03333,23.5556,595.222,11,0.312905235,0.713226801
4.21667,25.1655,464.792,11,0.334290644,0.556938606
4.4,28.1081,395.649,11,0.373379224,0.47408777
4.58333,25.9587,387.534,11,0.344827266,0.464363943
4.76667,27.1485,338.051,11,0.360632197,0.405070769
4.95,27.0016,314.994,11,0.358680824,0.37744264
5.13333,24.6334,298.532,11,0.327222394,0.357716992
5.31667,26.7541,283.045,11,0.355393111,0.339159641
5.5,27.0978,249.711,11,0.359958714,0.299217061
5.68333,24.2578,258.831,11,0.322233041,0.310145132
5.86667,25.6201,241.321,11,0.340329409,0.289163715
6.05,24.0833,233.75,11,0.319915038,0.280091738
0,31.5833,119.583,15,0.419542696,0.143290739
0.18333,25.7238,142.729,15,0.341706927,0.171025513
0.36667,28.594,157.863,15,0.379833768,0.189159881
0.55,23.0083,165.448,15,0.305635073,0.198248633
0.73333,25.7447,151.531,15,0.341984556,0.18157254
0.91667,25.125,176.406,15,0.333752655,0.211379094
1.1,30.0764,186.384,15,0.399525507,0.223335267
1.28333,27.4706,197.673,15,0.364910873,0.236862349
1.46667,24.7958,205.399,15,0.329379665,0.246120055
1.65,25.0324,232.336,15,0.332522586,0.278397408
1.83333,25.4746,271.931,15,0.338396632,0.325842252
2.01667,28.25,339.713,15,0.375264179,0.407062266
2.2,25.5496,420.897,15,0.339392909,0.504341272
2.38333,31.9093,518.153,15,0.423873178,0.620878607
2.56667,34.9878,549.954,15,0.464767011,0.658984265
2.75,43.2045,647.62,15,0.573915088,0.776012884
2.93333,48.7754,693.569,15,0.647917184,0.83107143
3.11667,47.0526,705.342,15,0.625032047,0.845178468
3.3,37.6439,668.054,15,0.500049814,0.800497994
3.48333,31.5514,632.866,15,0.419118946,0.758333853
3.66667,25.7321,554.096,15,0.341817182,0.66394743
3.85,24.6756,503.991,15,0.327782966,0.603908942
4.03333,26.6111,484.12,15,0.353493543,0.580098449
4.21667,22.1242,435.426,15,0.293890965,0.521750696
4.4,25.3017,403.401,15,0.336099883,0.48337663
4.58333,27.8804,368.709,15,0.370354528,0.441806822
4.76667,27.9979,338.37,15,0.371915362,0.405453012
4.95,26.5303,318.065,15,0.352420221,0.381122476
5.13333,23.8887,316.564,15,0.317330032,0.379323897
5.31667,23.9193,297.428,15,0.317736513,0.35639412
5.5,28.6818,285.323,15,0.381000076,0.341889262
