Distance (um),CnbGFP,ChJup,frame,normalized RFP,normalized GFP
0,25.1667,85.222,36,0.520945069,0.249085898
0.18334,23.8459,88.027,36,0.493604804,0.25728432
0.36667,23.8561,88.123,36,0.493815942,0.257564908
0.55001,24.0689,93.704,36,0.498220854,0.273876992
0.73334,25.555,101.839,36,0.528982792,0.297653878
0.91668,25.5541,105.863,36,0.528964162,0.309415179
1.10002,24.7011,101.725,36,0.511307253,0.29732068
1.28335,26.6973,110.022,36,0.552628147,0.321571057
1.46669,27.4984,116.476,36,0.569210738,0.340434736
1.65002,28.3811,126.837,36,0.587482431,0.370717749
1.83336,26.5113,137.422,36,0.548777989,0.401655468
2.0167,25.5123,141.988,36,0.528098912,0.415000921
2.20003,29.208,199.189,36,0.604599076,0.582187357
2.38337,26,223.218,36,0.538194193,0.652419046
2.5667,30.0531,257.231,36,0.622092458,0.751831858
2.75004,34.2645,317.689,36,0.709267497,0.928537817
2.93338,35.9921,330.717,36,0.745028431,0.966615908
3.11671,37.1973,315.848,36,0.769975802,0.923156963
3.30005,41.6198,273.928,36,0.861520564,0.800633661
3.48338,48.3097,237.465,36,1,0.694060017
3.66672,45.7879,183.803,36,0.947799303,0.53721733
3.85006,35.8471,127.96,36,0.742026964,0.374000041
4.03339,33.4877,106.284,36,0.693187911,0.310645673
4.21673,28.0516,75.755,36,0.580661855,0.221415857
4.40006,30.522,60.065,36,0.631798583,0.175557303
4.5834,28.096,58.532,36,0.581580925,0.171076668
4.76674,24.4798,55.235,36,0.506726392,0.161440233
4.95007,21.1713,59.504,36,0.438241181,0.173917618
5.13341,19.4749,62.894,36,0.40312608,0.183825872
5.31674,20.7238,61.414,36,0.428978031,0.179500145
5.50008,22.2052,58.138,36,0.45964268,0.169925089
5.68342,23.5285,58.079,36,0.487034695,0.169752644
5.86675,21.9091,61.633,36,0.453513477,0.180140235
6.05009,21.6667,63,36,0.448495851,0.184135688
0,26.2222,118.056,47,0.542793683,0.345052742
0.18334,26.839,117.179,47,0.555561305,0.342489456
0.36667,25.8662,123.497,47,0.535424563,0.360955635
0.55001,27.3554,132.375,47,0.56625067,0.386904153
0.73334,27.8944,133.612,47,0.57740785,0.390519643
0.91668,26.0975,145.857,47,0.540212421,0.42630919
1.10002,24.8375,163.617,47,0.514130703,0.478217917
1.28335,28.3696,187.343,47,0.587244384,0.547564002
1.46669,36.2214,226.22,47,0.74977489,0.661193258
1.65002,33.4394,279.297,47,0.692188111,0.816326113
1.83336,35.1912,313.899,47,0.72844998,0.917460447
2.0167,32.9136,338.358,47,0.681304169,0.988948936
2.20003,42.3994,342.139,47,0.87765811,1
2.38337,43.8648,268.096,47,0.907991563,0.783587957
2.5667,45.6565,250.424,47,0.945079353,0.731936435
2.75004,42.2424,188.866,47,0.874408245,0.552015409
2.93338,36.8786,135.337,47,0.763378783,0.395561453
3.11671,33.0053,96.238,47,0.683202338,0.281283338
3.30005,29.0138,73.033,47,0.60057918,0.213460026
3.48338,24.1988,63.649,47,0.500909755,0.186032577
3.66672,23.9872,57.565,47,0.496529682,0.168250331
3.85006,24.6887,62.913,47,0.511050576,0.183881405
4.03339,23.6358,73.222,47,0.489255781,0.214012434
4.21673,27.4674,63.076,47,0.568569045,0.184357819
4.40006,25.1584,88.786,47,0.520773261,0.259502717
4.5834,25.6717,77.119,47,0.531398456,0.225402541
4.76674,27.6919,70.268,47,0.573216145,0.205378516
4.95007,26.9114,81.931,47,0.557059969,0.239467
5.13341,25.9645,88.223,47,0.537459351,0.257857187
5.31674,22.8766,87.044,47,0.47354051,0.254411219
5.50008,24.1625,102.771,47,0.500158353,0.300377917
5.68342,25.7256,106.013,47,0.532514174,0.309853598
5.86675,29.0377,99.998,47,0.601073904,0.292273024
6.05009,28.3333,96,47,0.586492982,0.280587714
0,23.3333,94.222,56,0.482994098,0.275390996
0.18334,27.3119,103.002,56,0.56535023,0.301053081
0.36667,26.3589,105.106,56,0.545623343,0.307202628
0.55001,26.0771,105.86,56,0.539790146,0.309406411
0.73334,28.7985,120.205,56,0.596122518,0.351333815
0.91668,30.8112,137.442,56,0.637784958,0.401713923
1.10002,30.0193,144.474,56,0.621392805,0.422266973
1.28335,28.8419,164.273,56,0.597020888,0.480135267
1.46669,24.6529,155.177,56,0.510309524,0.453549581
1.65002,26.3554,182.201,56,0.545550894,0.532535022
1.83336,29.8826,196.867,56,0.618563146,0.575400641
2.0167,31.7407,238.531,56,0.657025401,0.697175709
2.20003,28.0579,260.24,56,0.580792263,0.760626529
2.38337,40.2195,266.09,56,0.832534667,0.777724843
2.5667,42.1678,276.51,56,0.872864042,0.808180301
2.75004,38.5069,286.003,56,0.797084229,0.835926334
2.93338,41.8619,264.882,56,0.86653198,0.774194114
3.11671,45.9243,243.657,56,0.950622753,0.712157924
3.30005,43.4545,223.449,56,0.899498444,0.65309421
3.48338,41.6533,200.433,56,0.862214007,0.585823306
3.66672,33.7857,152.015,56,0.699356444,0.444307723
3.85006,31.1129,135.702,56,0.644030081,0.396628271
4.03339,29.6667,112.457,56,0.614094064,0.328688048
4.21673,23.5134,99.948,56,0.486722128,0.292126884
4.40006,25.6777,81.76,56,0.531522655,0.238967203
4.5834,26.8295,78.829,56,0.555364658,0.23040051
4.76674,27.6191,59.428,56,0.571709201,0.173695486
4.95007,27.2681,66.259,56,0.56444358,0.193661056
5.13341,22.4139,62.828,56,0.463962724,0.183632968
5.31674,24.4975,54.984,56,0.507092778,0.160706613
5.50008,25.9945,48.165,56,0.538080344,0.140776117
5.68342,26.4368,46.435,56,0.547235855,0.135719693
5.86675,24.2252,49.698,56,0.501456229,0.145256752
6.05009,22.3333,40.667,56,0.462294322,0.118861048
0,25,83.667,64,0.517494416,0.244540961
0.18334,25.4802,91.968,64,0.527434449,0.26880303
0.36667,24.57,101.964,64,0.508593512,0.298019226
0.55001,24.0496,122.361,64,0.497821349,0.357635347
0.73334,24.8709,125.691,64,0.514822075,0.367368233
0.91668,24.1563,117.52,64,0.500030015,0.343486127
1.10002,27.55,128.487,64,0.570278847,0.375540351
1.28335,24.4917,136.056,64,0.50697272,0.397662938
1.46669,28.4688,141.313,64,0.589297801,0.413028038
1.65002,25.0138,167.504,64,0.517780073,0.489578797
1.83336,25.8045,176.081,64,0.534147387,0.514647556
2.0167,29.1605,300,64,0.603615837,0.876836607
2.20003,28.292,250.325,64,0.585638081,0.731647079
2.38337,28.4724,301.155,64,0.589372321,0.880212428
2.5667,39,333.845,64,0.807291289,0.975758391
2.75004,43,340.733,64,0.890090396,0.995890559
2.93338,42,329.391,64,0.869390619,0.96274029
3.11671,44,320.132,64,0.910790173,0.935678189
3.30005,46,325.488,64,0.952189726,0.951332646
3.48338,37,300.777,64,0.765891736,0.879107614
3.66672,36,247.967,64,0.745191959,0.724755143
3.85006,35,207.846,64,0.724492183,0.607489938
4.03339,32.4444,177.111,64,0.671591834,0.517658028
4.21673,28.1743,155.783,64,0.583201717,0.455320791
4.40006,31.4022,145.705,64,0.650018526,0.425864926
4.5834,28.8101,135.762,64,0.596362635,0.396803638
4.76674,25.4552,137.298,64,0.526916955,0.401293042
4.95007,23.5152,114.865,64,0.486759388,0.335726123
5.13341,25.0721,126.151,64,0.51898687,0.368712716
5.31674,23.9497,118.012,64,0.495753441,0.344924139
5.50008,24.8953,95.19,64,0.51532715,0.278220256
5.68342,23.8512,98.921,64,0.493714513,0.28912518
5.86675,24.0404,102.059,64,0.497630911,0.298296891
6.05009,24.8889,104.778,64,0.515194671,0.306243953
0,24.25,96.222,65,0.501969584,0.281236573
0.18333,24.9192,94.14,65,0.515821874,0.275151327
0.36666,23.2576,95.443,65,0.481427125,0.278959721
0.55,24.8106,95.561,65,0.513573879,0.27930461
0.73333,24.1843,101.364,65,0.500609608,0.296265553
0.91666,24.2348,97.463,65,0.501654947,0.284863754
1.09999,24.9318,92.379,65,0.516082691,0.270004296
1.28332,24.9773,100.747,65,0.517024531,0.294462192
1.46666,28.1768,109.488,65,0.583253467,0.320010288
1.64999,29.3409,97.747,65,0.607350077,0.285693826
1.83332,25.3838,115.872,65,0.525438991,0.338669371
2.01665,26.0556,138.778,65,0.5393451,0.405618769
2.19998,28.4924,162.823,65,0.589786316,0.475897223
2.38332,27.0253,195.386,65,0.559417674,0.571071991
2.56665,29,216.697,65,0.600293523,0.633359541
2.74998,34.2348,225.273,65,0.708652714,0.658425377
2.93331,40.5354,267.596,65,0.839073726,0.782126563
3.11664,40.6591,274.261,65,0.841634289,0.801606949
3.29998,34.5682,246.641,65,0.715554019,0.720879526
3.48331,30.0985,223.291,65,0.623032227,0.65263241
3.66664,27.1136,193.444,65,0.561245464,0.565395936
3.84997,26.1288,175.227,65,0.540860324,0.512151494
4.0333,26.8889,148.981,65,0.556594224,0.435439982
4.21664,24.2879,138.633,65,0.502754105,0.405194965
4.39997,24.8788,116.091,65,0.514985603,0.339309462
4.5833,24.5101,120.338,65,0.507353596,0.351722546
4.76663,24.2247,108.65,65,0.501445879,0.317560991
4.94996,23.9318,97.49,65,0.495382915,0.284942669
5.1333,24.1313,98.357,65,0.49951252,0.287476727
5.31663,25.6717,97,65,0.531398456,0.283510503
5.49996,24.8636,91.682,65,0.514670967,0.267967113
5.68329,26.1288,85.48,65,0.540860324,0.249839977
5.86662,27.4646,89.441,65,0.568511086,0.261417143
6.04996,24.5,85.167,65,0.507144528,0.248925144
