,index,File Name,Nb #,Genotype,phase,min slice,max slice,Daughter Asl Area,Daughter Asl Mean,Daughter Asl Mode,Daughter Asl Min,Daughter Asl Max,Daughter Asl IntDen,Daughter Asl RawIntDensity,Mother Asl Area,Mother Asl Mean,Mother Asl Mode,Mother Asl Min,Mother Asl Max,Mother Asl IntDen,Mother Asl RawIntDensity,Daughter Cnb Area,Daughter Cnb Mean,Daughter Cnb Mode,Daughter Cnb Min,Daughter Cnb Max,Daughter Cnb IntDen,Daughter Cnb RawIntDensity,Mother Cnb Area,Mother Cnb Mean,Mother Cnb Mode,Mother Cnb Min,Mother Cnb Max,Mother Cnb IntDen,Mother Cnb RawIntDensity,Daughter Asl Area background,Daughter Asl Mean background,Daughter Asl Mode background,Daughter Asl Min background,Daughter Asl Max background,Daughter Asl IntDen background,Daughter Asl RawIntDensity background,Mother Asl Area background,Mother Asl Mean background,Mother Asl Mode background,Mother Asl Min background,Mother Asl Max background,Mother Asl IntDen background,Mother Asl RawIntDensity background,Daughter Cnb Area background,Daughter Cnb Mean background,Daughter Cnb Mode background,Daughter Cnb Min background,Daughter Cnb Max background,Daughter Cnb IntDen background,Daughter Cnb RawIntDensity background,Mother Cnb Area background,Mother Cnb Mean background,Mother Cnb Mode background,Mother Cnb Min background,Mother Cnb Max background,Mother Cnb IntDen background,Mother Cnb RawIntDensity background,Sub D/M Cnb ratio,Adjusted Cnb D/M Ratio,Adjusted Asl D/M Ratio,Adjusted Daughter Asl RawIntDensity,Adjusted Daughter Cnb RawIntDensity,Adjusted Mother Cnb RawIntDensity,Adjusted Cnb D/M Ratio - Log10,Original Cnb D/M Ratio - Log10,Daughter Asl IntDensity,Daughter Asl RawIntDen,Mother Asl IntDensity,Mother Asl RawIntDen,Daughter Area,Mother Area,Daughter Cnb IntDensity,Daughter Cnb RawIntDen,Mother Cnb IntDensity,Mother Cnb RawIntDen,Integrated Density - Asl D/M,Integrated Density - Cnb D/M,Daughter Asl/Area,Mother Asl/Area,"Asl D/M, Area Adjusted",Daughter Cnb/Area,Mother Cnb/Area,"Cnb D/M, Area Adjusted",average Cnb IntDen background,Daughter Cnb IntDen / background,Mother Cnb IntDen / background,enriichment?,d/m,Daughter Cnb IntDen - background,Mother Cnb IntDen - background,enrichment?
0,0,PP4KO_males_11_28_batch_MTs405_Asl568_Cnb488_011_SIR_ALX_PP4KO,Nb4,PP4KO,telophase,7.0,26.0,0.12,138374.312,122897.067,69975.836,213339.172,16604.917,10378073.391,0.176,142844.715,115945.91,42797.164,232909.641,25140.67,15712918.609,0.12,40688.584,7446.098,5413.422,154089.141,4882.63,3051643.772,0.176,10773.343,7142.938,1383.405,35278.586,1896.108,1185067.687,0.184,7786.276,6121.446,2661.349,17302.422,1432.675,895421.712,0.184,7786.276,6121.446,2661.349,17302.422,1432.675,895421.712,0.184,4655.407,3578.204,1053.924,10771.454,856.595,535371.79,0.184,4655.407,3578.204,1053.924,10771.454,856.595,535371.79,,2.5750797236951413,0.6604803123625727,10378073.391,3051643.772,,0.4107906792121238,0.4107906792121238,16604.917,10378073.391,25140.67,15712918.609,0.12,0.176,4882.63,4882.63,1896.108,1185067.687,0.6604802895070021,2.575080111470444,86483944.92500001,89277946.64204545,0.9687044581317732,40688.583333333336,6733339.130681818,0.0060428537080402,856.595,,,,3.945824985945417,4026.035,1039.513,Daughter
1,2,PP4KO_males_11_28_batch_MTs405_Asl568_Cnb488_006_SIR_ALX_PP4KO,Nb10,PP4KO,telophase,5.0,17.0,0.157,189409.456,197010.98,61167.672,306933.656,29699.403,18562126.641,0.163,179534.486,189907.94,33908.723,304659.906,29300.028,18312517.586,0.157,17050.172,3769.284,2319.044,84821.562,2673.467,1670916.851,0.163,5544.391,4479.991,671.279,16271.764,904.845,565527.86,0.158,8799.432,7741.928,2410.674,21769.555,1393.83,871143.817,0.158,8799.432,7741.928,2410.674,21769.555,1393.83,871143.817,0.158,3574.466,2747.59,188.928,7761.383,566.195,353872.111,0.158,3574.466,2747.59,188.928,7761.383,566.195,353872.111,,0.3384536218313594,0.9865527770698072,,1670916.851,565527.86,-0.4705008341063662,0.4705008341063662,29300.028,18312517.586,29699.403,18562126.641,0.163,0.157,904.845,904.845,2673.467,1670916.851,0.9865527599999232,0.3384537755655858,112346733.6564417,118230105.99363056,0.950237950919998,5551.196319018405,10642782.49044586,0.0005215925744984,566.195,,,,0.15388522284377187,2107.272,338.65,Mother
2,3,PP4KO_males_11_28_batch_MTs405_Asl568_Cnb488_1515_009_SIR_ALX_Nb9,Nb9,PP4KO,telophase,17.0,31.0,0.093,400969.736,294351.367,133180.312,694538.0,37209.991,23256244.672,0.096,410397.69,249764.197,120925.438,694538.0,39398.178,24623861.414,0.093,4007.066,633.595,619.047,8067.836,371.856,232409.807,0.096,4173.658,1351.05,1250.036,8638.476,400.671,250419.475,0.122,26489.452,29733.489,5450.889,61202.867,3221.117,2013198.367,0.122,26489.452,29733.489,5450.889,61202.867,3221.117,2013198.367,0.122,3916.233,3786.575,437.944,8801.354,476.214,297633.722,0.122,3916.233,3786.575,437.944,8801.354,476.214,297633.722,,0.9280819992135196,0.944459696267522,23256244.672,232409.807,,-0.0324136506855632,-0.0324136506855632,37209.991,23256244.672,39398.178,24623861.414,0.093,0.096,371.856,371.856,400.671,250419.475,0.9444596904963474,0.928083140531758,250067147.01075268,256498556.3958333,0.9749261380826036,3998.451612903226,2608536.1979166665,0.0015328334780619,476.214,,,,1.32077464153726,-104.358,-75.543,None
3,4,PP4KO_males_11_28_batch_MTs405_Asl568_Cnb488_1515_004_SIR_ALX_Nb5,Nb5,PP4KO,telophase,28.0,54.0,0.203,122219.91,101424.261,42959.715,222204.312,24822.049,15644148.43,0.148,128498.997,157436.17,50883.969,190410.125,18961.312,11950406.742,0.203,12516.805,7270.518,2533.501,43641.172,2542.08,1602150.986,0.148,7655.138,8234.6,2797.754,16786.021,1129.592,711927.844,0.155,20223.029,14705.808,10693.076,43304.48,3144.546,1981856.808,0.155,20223.029,14705.808,10693.076,43304.48,3144.546,1981856.808,0.155,6262.732,5636.225,1950.586,10489.261,973.813,613747.773,0.155,6262.732,5636.225,1950.586,10489.261,973.813,613747.773,,0.4443575232428188,0.7638898848008437,,1602150.986,711927.844,-0.3522674625640508,0.3522674625640509,18961.312,11950406.742,24822.049,15644148.43,0.148,0.203,1129.592,1129.592,2542.08,1602150.986,0.7638898787122692,0.4443573766364552,80745991.50000001,77064770.591133,1.0477678825308874,7632.378378378379,7892369.389162561,0.0009670579267182,973.813,,,,0.08223540194639618,1568.2669999999998,155.7790000000001,Mother
4,5,PP4KO_males_11_28_batch_MTs405_Asl568_Cnb488_1515_004_SIR_ALX_Nb8,Nb8,PP4KO,telophase,29.0,59.0,0.16,105670.076,101550.239,49104.309,182697.922,16907.212,10567007.586,0.202,108937.774,122807.189,45312.723,181660.375,21961.855,13726159.562,0.16,21691.009,7405.515,4191.147,51212.754,3470.562,2169100.943,0.202,7126.255,8599.128,1577.836,14280.668,1436.653,897908.149,0.133,22655.524,19760.906,13431.938,37084.723,3008.654,1880408.498,0.133,22655.524,19760.906,13431.938,37084.723,3008.654,1880408.498,0.133,7102.996,8862.006,2894.662,14600.715,943.278,589548.66,0.133,7102.996,8862.006,2894.662,14600.715,943.278,589548.66,,2.4157269821147374,0.7698444374240037,10567007.586,2169100.943,,0.3830478501225247,0.3830478501225247,16907.212,10567007.586,21961.855,13726159.562,0.16,0.202,3470.562,3470.562,1436.653,897908.149,0.7698444416466642,2.4157273885900072,66043797.4125,67951284.96039604,0.9719286022478048,21691.0125,4445089.846534653,0.0048797691945214,943.278,,,,5.373276870097072,2527.2839999999997,493.375,Daughter
5,6,PP4KO_males_11_28_batch_MTs405_Asl568_Cnb488_1515_004_SIR_ALX_Nb9,Nb9,PP4KO,telophase,15.0,61.0,0.189,112916.541,79561.171,55236.621,201756.266,21318.643,13324151.84,0.141,154204.782,153488.106,59833.215,252408.734,21712.033,13570020.816,0.189,25341.753,14174.838,6045.804,107559.594,4784.523,2990326.879,0.141,9892.67,9348.646,3193.852,17850.85,1392.888,870554.981,0.122,26489.452,29733.489,5450.889,61202.867,3221.117,2013198.367,0.122,26489.452,29733.489,5450.889,61202.867,3221.117,2013198.367,0.122,3916.233,3786.575,437.944,8801.354,476.214,297633.722,0.122,3916.233,3786.575,437.944,8801.354,476.214,297633.722,,3.4349661357000496,0.9818814591861124,13324151.84,2990326.879,,0.5359224598377532,0.5359224598377532,21318.643,13324151.84,21712.033,13570020.816,0.189,0.141,4784.523,4784.523,1392.888,870554.981,0.9818814755854508,3.4349660561366027,70498157.88359788,96241282.38297874,0.7325147393928139,25314.93650793651,6174148.80141844,0.0041001500485574,476.214,,,,4.758512500803702,4308.309,916.674,Daughter
6,7,PP4KO_males_11_28_batch_MTs405_Asl568_Cnb488_1515_004_SIR_ALX_Nb11,Nb11,PP4KO,telophase,24.0,56.0,0.174,192173.739,151190.69,43928.262,402871.812,33515.1,20946937.547,0.2,172660.192,174862.894,60482.391,286593.656,34532.038,21582524.023,0.174,16199.568,9683.99,2027.035,66295.25,2825.205,1765752.858,0.2,8410.5,5322.835,2152.031,15568.989,1682.1,1051312.486,0.205,26804.05,19242.576,11732.012,79195.328,5489.47,3430918.439,0.205,26804.05,19242.576,11732.012,79195.328,5489.47,3430918.439,0.205,8680.721,10010.238,3095.375,19410.627,1777.812,1111132.298,0.205,8680.721,10010.238,3095.375,19410.627,1777.812,1111132.298,,1.679569948530032,0.970550873691943,20946937.547,1765752.858,,0.2251980954822525,0.2251980954822525,33515.1,20946937.547,34532.038,21582524.023,0.174,0.2,2825.205,2825.205,1682.1,1051312.486,0.9705508837908726,1.679570180131978,120384698.545977,107912620.11499998,1.115575716887291,16236.810344827589,5256562.43,0.0030888647402267,1777.812,,,,1.542861380015522,1047.393,-95.71199999999999,Daughter
7,8,PP4KO_females_11_27_batch_MTs405_Asl568_Cnb488_1515_006_SIR_ALX_Nb2,Nb2,PP4KO,telophase,26.0,54.0,0.173,271139.109,184390.351,99399.219,484491.781,46852.838,29283023.758,0.192,251465.661,281430.485,85263.898,432797.781,48281.407,30175879.305,0.173,12803.887,5369.411,3228.507,60920.234,2212.512,1382819.784,0.192,5434.244,4263.097,1782.578,10541.377,1043.375,652109.236,0.106,12782.589,11981.826,8294.937,18498.652,1349.841,843650.865,0.106,12782.589,11981.826,8294.937,18498.652,1349.841,843650.865,0.106,5428.845,7265.327,1646.562,9237.084,573.286,358303.785,0.106,5428.845,7265.327,1646.562,9237.084,573.286,358303.785,,2.1205339652634514,0.9704116145887404,29283023.758,1382819.784,,0.326445233083565,0.326445233083565,46852.838,29283023.758,48281.407,30175879.305,0.173,0.192,2212.512,2212.512,1043.375,652109.236,0.9704116120725316,2.120533844495028,169266033.283237,157166038.046875,1.0769886127227637,12789.086705202317,3396402.270833333,0.0037654805542408,573.286,,,,3.581500840755254,1639.226,470.08900000000006,Daughter
8,9,PP4KO_females_11_28_batch_MTs405_Asl568_Cnb488_1515_006_SIR_ALX_Nb1,Nb1,PP4KO,telophase,26.0,53.0,0.208,171805.103,148276.074,39306.895,365577.188,35735.461,22334663.367,0.178,228541.604,283066.588,66427.953,347235.5,40588.989,25368118.016,0.208,13858.237,8241.847,1669.251,55084.633,2882.513,1801570.857,0.178,6452.79,5533.165,1727.639,14982.263,1146.016,716259.736,0.162,29375.708,24013.734,16261.663,46559.832,4747.114,2966946.526,0.162,29375.708,24013.734,16261.663,46559.832,4747.114,2966946.526,0.162,6157.669,2952.459,2789.416,12064.778,995.079,621924.568,0.162,6157.669,2952.459,2789.416,12064.778,995.079,621924.568,,2.515247984007857,0.8804225584615003,22334663.367,1801570.857,,0.4005808095815838,0.4005808095815838,35735.461,22334663.367,40588.989,25368118.016,0.208,0.178,2882.513,2882.513,1146.016,716259.736,0.8804225451390277,2.515246733029905,107378189.26442309,142517516.94382024,0.7534385356064761,13858.235576923078,4023931.101123596,0.0034439544884487,995.079,,,,15.341184343545493,1887.434,150.93700000000013,Daughter
9,10,PP4KO_males_11_28_batch_MTs405_Asl568_Cnb488_1515_003_SIR_ALX_Nb4,Nb4,PP4KO,telophase,32.0,68.0,0.176,220250.16,220452.513,94741.766,351171.656,38790.458,24447767.812,0.195,218964.206,185418.364,78212.602,345965.531,42733.054,26932597.344,0.176,18443.052,11688.422,6005.98,46983.586,3248.19,2047178.761,0.195,15874.025,13319.724,6011.644,30151.883,3097.975,1952505.089,0.157,34114.454,23705.518,19028.297,74719.859,5358.698,3377330.902,0.157,34114.454,23705.518,19028.297,74719.859,5358.698,3377330.902,0.157,16495.156,18571.543,8163.709,31433.627,2591.059,1633020.45,0.157,16495.156,18571.543,8163.709,31433.627,2591.059,1633020.45,,1.048488309983606,0.9077389566159476,24447767.812,2047178.761,,0.0205635927051152,0.0205635927051152,38790.458,24447767.812,42733.054,26932597.344,0.176,0.195,3248.19,3248.19,3097.975,1952505.089,0.907738960103343,1.0484881253076608,138907771.6590909,138115883.81538463,1.0057335030688055,18455.625,10012846.61025641,0.0018431946197093,2591.059,,,,1.3500012104359012,657.1309999999999,506.9159999999997,Daughter
